2018 Specialized Road bike Roubaix Comp,https://sandiego.craigslist.org/nsd/bik/d/san-diego-2018-specialized-road-bike/6947280449.html,$1600,Rancho Bernardo,2019-08-01 12:13
Specialized Secteur L,https://sandiego.craigslist.org/csd/bik/d/del-mar-specialized-secteur/6947311058.html,$550,Del Mar,2019-08-01 12:11
Specialized Allez Sport - 56cm,https://sandiego.craigslist.org/csd/bik/d/san-diego-specialized-allez-sport-56cm/6947188472.html,$350,Tierrasanta,2019-08-01 09:58
"K2 Mod 5, Trek, specialized giant ,Campagnolo,",https://sandiego.craigslist.org/csd/bik/d/san-diego-k2-mod-5-trek-specialized/6947137331.html,$750,San Diego,2019-08-01 09:03
Specialized Hardrock Sport Mountain Bike,https://sandiego.craigslist.org/csd/bik/d/san-diego-specialized-hardrock-sport/6946918150.html,$550,San Diego,2019-07-31 22:12
Specialized Allez w/ Carbon Fork & Mavic Wheel Upgrade 56,https://sandiego.craigslist.org/csd/bik/d/san-marcos-specialized-allez-carbon/6946799153.html,$400,N/A,2019-07-31 17:03
"$3300 new, Specialized VENGE Elite, Rival HRR Carbon Road Bike",https://sandiego.craigslist.org/csd/bik/d/san-diego-3300-new-specialized-venge/6946790336.html,$1400,San Diego,2019-07-31 16:48
Specialized S-works Stumpjumper 29er carbon size large,https://sandiego.craigslist.org/nsd/bik/d/carlsbad-specialized-works-stumpjumper/6932626445.html,$1995,Carlsbad,2019-07-31 13:06
SPECIALIZED TURBO,https://sandiego.craigslist.org/csd/bik/d/san-diego-specialized-turbo/6940356352.html,$2000,N/A,2019-07-31 13:02
Specialized Tarmac Comp full Carbon Fiber Road Bike 54cm,https://sandiego.craigslist.org/csd/bik/d/san-diego-specialized-tarmac-comp-full/6946579569.html,$650,N/A,2019-07-31 12:12
Specialized Road Bike 12-speed o.b.o,https://sandiego.craigslist.org/csd/bik/d/chula-vista-specialized-road-bike-12/6942781568.html,$250,Chula Vista,2019-07-31 11:42
Single Speed Specialized Crave SL Mountain Bike,https://sandiego.craigslist.org/nsd/bik/d/san-diego-single-speed-specialized/6946172393.html,$800,Escondido,2019-07-30 22:39
Specialized Enduro Comp mountain bike,https://sandiego.craigslist.org/csd/bik/d/san-diego-specialized-enduro-comp/6946156417.html,$650,N/A,2019-07-30 21:30
Specialized Demo 8,https://sandiego.craigslist.org/csd/bik/d/san-diego-specialized-demo-8/6946116242.html,$1200,North Park,2019-07-30 19:32
Full Suspension Mountain Bike,https://sandiego.craigslist.org/nsd/bik/d/san-diego-full-suspension-mountain-bike/6946047109.html,$450,San Diego,2019-07-30 17:13
Specialized Allez Unisex Road Bike,https://sandiego.craigslist.org/nsd/bik/d/san-diego-specialized-allez-unisex-road/6945675843.html,$600,San Diego,2019-07-30 09:51
Specialized Camber Comp Carbon 29â 2014,https://sandiego.craigslist.org/nsd/bik/d/oceanside-specialized-camber-comp/6942659895.html,$2000,Oceanside,2019-07-30 06:58
Men's Roubaix SL4 Comp 54 Carbon Di2,https://sandiego.craigslist.org/nsd/bik/d/fallbrook-mens-roubaix-sl4-comp-54/6945490351.html,$1450,Fallbrook Bonsall,2019-07-30 06:13
2014 XL Stumpjumper,https://sandiego.craigslist.org/nsd/bik/d/encinitas-2014-xl-stumpjumper/6936903409.html,$2300,Encinitas,2019-07-29 22:17
